,CLASSIFICADOR,PRECISAO,REVOGACAO,F1,TREINAMENTO [s],TESTE [s] 
1468,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.75,0.75,0.75,1.2946016788482666,0.032033443450927734
1469,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.8333333333333334,0.8333333333333334,0.8333333333333334,1.2989988327026367,0.03000330924987793
1470,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.8333333333333334,0.8333333333333334,0.8333333333333334,1.303936243057251,0.03200078010559082
1471,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.8333333333333334,0.8333333333333334,0.8333333333333334,1.3040008544921875,0.030012845993041992
1472,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5833333333333334,0.5833333333333334,0.5833333333333334,1.3110218048095703,0.03203320503234863
1473,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5833333333333334,0.5833333333333334,0.5833333333333334,1.3067009449005127,0.030965089797973633
1474,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5833333333333334,0.5833333333333334,0.5833333333333334,1.3039660453796387,0.03103351593017578
1475,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5833333333333334,0.5833333333333334,0.5833333333333334,1.2969028949737549,0.031037092208862305
1476,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5833333333333334,0.5833333333333334,0.5833333333333334,1.3584365844726562,0.032052040100097656
1477,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5833333333333334,0.5833333333333334,0.5833333333333334,1.326106309890747,0.03100132942199707
1478,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5833333333333334,0.5833333333333334,0.5833333333333334,1.3067121505737305,0.031032323837280273
