,CLASSIFICADOR,F1,PRECISAO,REVOGACAO,TESTE [s] ,TREINAMENTO [s]
59,Dummy,0.5,0.5,0.5,0.0009996891021728516,0.0
60,AutoEncoder (PyOD),1.0,1.0,1.0,0.003000974655151367,3.3569514751434326
61,Local Outlier Factor (PyOD),1.0,1.0,1.0,0.0020360946655273438,0.0028221607208251953
62,Floresta de Isolamento (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.1439526081085205,0.4280087947845459
63,One Class SVM (PyOD),1.0,1.0,1.0,0.002057790756225586,0.0013747215270996094
64,MCD (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0020036697387695312,0.019997596740722656
65,Dummy,0.5,0.5,0.5,0.0009980201721191406,0.0
66,AutoEncoder (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.004000425338745117,3.4810240268707275
67,Local Outlier Factor (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0030357837677001953,0.0019631385803222656
68,Floresta de Isolamento (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.1380460262298584,0.4209578037261963
69,One Class SVM (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.002036571502685547,0.0017764568328857422
70,MCD (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.00098419189453125,0.031996726989746094
71,Dummy,0.5,0.5,0.5,0.0010023117065429688,0.0
72,AutoEncoder (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0029990673065185547,3.6419687271118164
73,Local Outlier Factor (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0019981861114501953,0.002005338668823242
74,Floresta de Isolamento (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.1329963207244873,0.4730532169342041
75,One Class SVM (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0019996166229248047,0.0010008811950683594
76,MCD (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0028030872344970703,0.0421903133392334
77,Dummy,0.5,0.5,0.5,0.0019943714141845703,0.0
78,AutoEncoder (PyOD),0.75,0.75,0.75,0.004034996032714844,3.430950403213501
79,Local Outlier Factor (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.002000093460083008,0.0013880729675292969
80,Floresta de Isolamento (PyOD),1.0,1.0,1.0,0.14500021934509277,0.43500614166259766
81,One Class SVM (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.003000974655151367,0.002967357635498047
82,MCD (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.002637147903442383,0.02600836753845215
83,Dummy,0.5,0.5,0.5,0.0010023117065429688,0.0
84,AutoEncoder (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.002965688705444336,3.349001169204712
85,Local Outlier Factor (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0019974708557128906,0.001965761184692383
86,Floresta de Isolamento (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.14100074768066406,0.338015079498291
87,One Class SVM (PyOD),0.5,0.5,0.5,0.002241849899291992,0.0027642250061035156
88,MCD (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.002002716064453125,0.021004676818847656
89,Dummy,0.5,0.5,0.5,0.005448579788208008,0.0010344982147216797
90,AutoEncoder (PyOD),0.75,0.75,0.75,0.004035234451293945,3.6409668922424316
91,Local Outlier Factor (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.001992940902709961,0.0010080337524414062
92,Floresta de Isolamento (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.13900136947631836,0.4120478630065918
