,CLASSIFICADOR,F1,PRECISAO,REVOGACAO,TESTE [s] ,TREINAMENTO [s]
170,Floresta de Isolamento (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.13299131393432617,0.6510214805603027
171,One Class SVM (PyOD),0.5,0.5,0.5,0.0029532909393310547,0.003003358840942383
172,MCD (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.004000425338745117,0.061951398849487305
173,Dummy,0.5,0.5,0.5,0.0,0.0010018348693847656
174,AutoEncoder (PyOD),0.5,0.5,0.5,0.009008169174194336,3.9360454082489014
175,Local Outlier Factor (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.004442691802978516,0.002998828887939453
176,Floresta de Isolamento (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.14204168319702148,0.5939545631408691
177,One Class SVM (PyOD),0.5,0.5,0.5,0.003996372222900391,0.0030024051666259766
178,MCD (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.003998279571533203,0.06295204162597656
179,Dummy,0.5,0.5,0.5,0.002966642379760742,0.0
180,AutoEncoder (PyOD),0.5,0.5,0.5,0.006994962692260742,4.621003150939941
181,Local Outlier Factor (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0029566287994384766,0.003994941711425781
182,Floresta de Isolamento (PyOD),0.5,0.5,0.5,0.121612548828125,0.5943467617034912
183,One Class SVM (PyOD),0.5,0.5,0.5,0.0020503997802734375,0.005004167556762695
184,MCD (PyOD),0.5,0.5,0.5,0.006047487258911133,0.04895162582397461
185,Dummy,0.5,0.5,0.5,0.001001596450805664,0.0
186,AutoEncoder (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0041658878326416016,2.987987518310547
187,Local Outlier Factor (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0019998550415039062,0.0008013248443603516
188,Floresta de Isolamento (PyOD),0.75,0.75,0.75,0.0890495777130127,0.2539989948272705
189,One Class SVM (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0029981136322021484,0.0030019283294677734
190,MCD (PyOD),0.5,0.5,0.5,0.0019996166229248047,0.022000789642333984
191,Dummy,0.5,0.5,0.5,0.0010001659393310547,0.0
192,AutoEncoder (PyOD),0.5,0.5,0.5,0.0029990673065185547,3.3690357208251953
193,Local Outlier Factor (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0020012855529785156,0.0010001659393310547
194,Floresta de Isolamento (PyOD),0.75,0.75,0.75,0.1430351734161377,0.2796742916107178
195,One Class SVM (PyOD),0.5,0.5,0.5,0.0030012130737304688,0.005002737045288086
196,MCD (PyOD),0.5,0.5,0.5,0.0019998550415039062,0.019913196563720703
197,Dummy,0.5,0.5,0.5,0.0006966590881347656,0.000301361083984375
198,AutoEncoder (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.004039287567138672,3.526949882507324
199,Local Outlier Factor (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.002001523971557617,0.0009992122650146484
200,Floresta de Isolamento (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.12200736999511719,0.2449643611907959
201,One Class SVM (PyOD),0.5,0.5,0.5,0.003997087478637695,0.0020017623901367188
202,MCD (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0010936260223388672,0.034995317459106445
203,Dummy,0.5,0.5,0.5,0.0,0.0
204,AutoEncoder (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0029997825622558594,3.338589668273926
205,Local Outlier Factor (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0029993057250976562,0.001965045928955078
206,Floresta de Isolamento (PyOD),0.3333333333333333,0.3333333333333333,0.3333333333333333,0.04799938201904297,0.23200058937072754
207,One Class SVM (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.006819248199462891,0.004178047180175781
208,MCD (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0019998550415039062,0.02399897575378418
209,Dummy,0.5,0.5,0.5,0.0009996891021728516,0.0
210,AutoEncoder (PyOD),0.5,0.5,0.5,0.004038333892822266,3.6659531593322754
211,Local Outlier Factor (PyOD),0.75,0.75,0.75,0.0019996166229248047,0.00099945068359375
212,Floresta de Isolamento (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.1420903205871582,0.2830483913421631
213,One Class SVM (PyOD),0.5,0.5,0.5,0.002000093460083008,0.0036940574645996094
214,MCD (PyOD),0.5,0.5,0.5,0.0010001659393310547,0.022861480712890625
215,Dummy,0.5,0.5,0.5,0.0,0.0
