CLASSIFICADOR,F1,PRECISAO,REVOGACAO,TESTE [s] ,TREINAMENTO [s]
"Floresta de Isolamento: {'bootstrap': False, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 50, 'random_state': 1}",0.07634763056086365,0.07634763056086365,0.07634763056086365,0.0008698100605510795,0.0029455493043711515
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'rbf', 'nu': 0.1}",0.0765513303006148,0.0765513303006148,0.0765513303006148,9.316137645080266e-05,8.786956918702397e-05
"Floresta de Isolamento: {'bootstrap': False, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 'auto', 'n_estimators': 200, 'random_state': 1}",0.07681343491528825,0.07681343491528825,0.07681343491528825,0.002888271811490328,0.01419329666026898
"Floresta de Isolamento: {'bootstrap': False, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 200, 'random_state': 1}",0.07681343491528825,0.07681343491528825,0.07681343491528825,0.0029260996647963305,0.010716166460446572
"Floresta de Isolamento: {'bootstrap': False, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 150, 'random_state': 1}",0.07723373328150628,0.07723373328150628,0.07723373328150628,0.002392661886124281,0.008246720786279773
"Floresta de Isolamento: {'bootstrap': False, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 'auto', 'n_estimators': 150, 'random_state': 1}",0.07723373328150628,0.07723373328150628,0.07723373328150628,0.002345441683927604,0.008296467242157672
"One-Class SVM: {'gamma': 'scale', 'kernel': 'rbf', 'nu': 0.5}",0.0790596099250892,0.0790596099250892,0.0790596099250892,6.432493507669009e-05,7.915551624264597e-05
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 150, 'random_state': 1}",0.07978210683781906,0.07978210683781906,0.07978210683781906,0.002171932633746145,0.008350340199917096
"One-Class SVM: {'gamma': 'scale', 'kernel': 'rbf', 'nu': 0.1}",0.0801811061820612,0.0801811061820612,0.0801811061820612,6.607787781120594e-05,7.012811168090829e-05
"One-Class SVM: {'gamma': 0.01, 'kernel': 'rbf', 'nu': 0.5}",0.0829104153815138,0.0829104153815138,0.0829104153815138,9.581971289235582e-05,9.295963760001281e-05
"One-Class SVM: {'gamma': 10.0, 'kernel': 'rbf', 'nu': 0.001}",0.08338831841512405,0.08338831841512405,0.08338831841512405,8.20757532834428e-05,9.275157733047604e-05
"Floresta de Isolamento: {'bootstrap': False, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 1.0, 'n_estimators': 200, 'random_state': 1}",0.08392910480374743,0.08392910480374743,0.08392910480374743,0.003218542406314695,0.013803001449336454
"Floresta de Isolamento: {'bootstrap': False, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 'auto', 'n_estimators': 200, 'random_state': 1}",0.08392910480374743,0.08392910480374743,0.08392910480374743,0.0033080922710741006,0.010352146928095121
