CLASSIFICADOR,PRECISAO,REVOGACAO,F1,TREINAMENTO [s],TESTE [s] 
"One-Class SVM: {'gamma': 5.0, 'kernel': 'rbf', 'nu': 0.1}",0.04430369294156474,0.04430369294156474,0.04430369294156474,0.0006825197033901311,0.0007310057609701742
"One-Class SVM: {'gamma': 0.5, 'kernel': 'rbf', 'nu': 0.1}",0.044362525766125836,0.044362525766125836,0.044362525766125836,0.000697100724728023,0.0007071436975397082
"One-Class SVM: {'gamma': 0.1, 'kernel': 'rbf', 'nu': 0.5}",0.04503528267241844,0.04503528267241844,0.04503528267241844,0.0006381500553345283,0.0006556711506335522
"One-Class SVM: {'gamma': 1.0, 'kernel': 'rbf', 'nu': 0.001}",0.04841095482233616,0.04841095482233616,0.04841095482233616,0.0007572244582048214,0.0006427746566010495
"One-Class SVM: {'gamma': 0.01, 'kernel': 'rbf', 'nu': 0.001}",0.04967753267269967,0.04967753267269967,0.04967753267269967,0.0007154357094848947,0.00069927222970484
"One-Class SVM: {'gamma': 5.0, 'kernel': 'sigmoid', 'nu': 0.1}",0.05187906412795746,0.05187906412795746,0.05187906412795746,0.000668409200117025,0.000700272156154738
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 50, 'random_state': 1}",0.054089914039702126,0.054089914039702126,0.054089914039702126,0.0019143695862202468,0.0011099991629148446
"One-Class SVM: {'gamma': 0.5, 'kernel': 'sigmoid', 'nu': 0.0001}",0.05418485344631994,0.05418485344631994,0.05418485344631994,0.0006890831267012146,0.0006772503690910646
"One-Class SVM: {'gamma': 1.0, 'kernel': 'sigmoid', 'nu': 0.0001}",0.054590719680716056,0.054590719680716056,0.054590719680716056,0.0007005765607806866,0.0006583046215973542
"One-Class SVM: {'gamma': 0.5, 'kernel': 'rbf', 'nu': 0.01}",0.056683748528695725,0.056683748528695725,0.056683748528695725,0.0006940471658931459,0.0006694290024571202
"One-Class SVM: {'gamma': 0.01, 'kernel': 'rbf', 'nu': 0.01}",0.05864238040572337,0.05864238040572337,0.05864238040572337,0.0007058355048214129,0.0006733566594225395
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 0.5, 'n_estimators': 50, 'random_state': 1}",0.059605124558276566,0.059605124558276566,0.059605124558276566,0.0019936297248483933,0.0011915206583453283
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'rbf', 'nu': 0.001}",0.06024233284345147,0.06024233284345147,0.06024233284345147,0.0007292138616243861,0.0006637758377828817
"One-Class SVM: {'gamma': 10.0, 'kernel': 'sigmoid', 'nu': 0.1}",0.06112345368400348,0.06112345368400348,0.06112345368400348,0.0006696687582495031,0.0006554052275524129
"One-Class SVM: {'gamma': 1.0, 'kernel': 'sigmoid', 'nu': 0.1}",0.06211938016731702,0.06211938016731702,0.06211938016731702,0.0006683561626746817,0.0006918907311753009
"One-Class SVM: {'gamma': 1.0, 'kernel': 'rbf', 'nu': 0.1}",0.062478017859405925,0.062478017859405925,0.062478017859405925,0.0006809608786358788,0.000738677329894665
"One-Class SVM: {'gamma': 1.0, 'kernel': 'rbf', 'nu': 0.5}",0.06322468720962253,0.06322468720962253,0.06322468720962253,0.0007198968985679785,0.0006696867144691499
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 0.5, 'n_estimators': 150, 'random_state': 1}",0.06452565218665542,0.06452565218665542,0.06452565218665542,0.004999710931691493,0.0020085804188702617
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 0.5, 'n_estimators': 200, 'random_state': 1}",0.06500418367443249,0.06500418367443249,0.06500418367443249,0.006630594261163044,0.002880613911907449
"One-Class SVM: {'gamma': 0.001, 'kernel': 'rbf', 'nu': 0.001}",0.06680948753936324,0.06680948753936324,0.06680948753936324,0.0007331794120883225,0.0006907495167313447
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 0.5, 'n_estimators': 200, 'random_state': 1}",0.06718476760127434,0.06718476760127434,0.06718476760127434,0.005656632516550497,0.002776756685623939
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 0.5, 'n_estimators': 100, 'random_state': 1}",0.0672090269249103,0.0672090269249103,0.0672090269249103,0.004993439647744847,0.0017160475026671558
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 200, 'random_state': 1}",0.06858601344960583,0.06858601344960583,0.06858601344960583,0.005391041046907723,0.002103585144593867
